"query","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","ARO","V17","V18","V19","V20","V21","V22","ARG.class","gene","pipeline","id","parent","parent_description","geneclass_argcompare"
"GMGC10.002_023_754.AACC",1,809,"+","(AGly)aac-IIIa","1-809/816","===============","0/0",99.14,99.75,"argannot","X55652:1124-1939","(AGly)aac-IIIa",NA,"ARO:3002536","AAC(3)-IIIa","Perfect","ARO:0000005,ARO:0000007,ARO:0000035,ARO:0000049,ARO:0000052,ARO:3000657,ARO:3000658,ARO:3007379,ARO:3007382","neomycin,dibekacin,sisomicin,kanamycin A,tobramycin,paromomycin,lividomycin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aac-IIIa","ABRicate-ARGANNOT",99.75,"ARO:3000322","AAC(3)","aac"
"GMGC10.002_040_065.PPS",1,2595,"+","(Rif)rphD","1-2619/2619","========/======","10/36",98.85,80.19,"argannot","NG_063826:1-2619","(Rif)rphD",NA,"ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","Rif","rphD","ABRicate-ARGANNOT",80.19,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.002_041_966.UNKNOWN",1,801,"+","(Bla)blaOXA-46","1-801/801","===============","0/0",100,100,"argannot","AF317511:2371-3171","(Bla)blaOXA-46",NA,"ARO:3001797","OXA-46","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaOXA-46","ABRicate-ARGANNOT",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_053_328.YBXI",1,804,"+","(Bla)blaOXA-129","1-804/804","===============","0/0",100,100,"argannot","AM932669:699-1502","(Bla)blaOXA-129",NA,"ARO:3001811","OXA-129","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaOXA-129","ABRicate-ARGANNOT",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_054_360.FTSI",1,1749,"+","(Bla)penA","1-1752/1752","========/======","1/3",99.83,94.29,"argannot","AB511945:1298-3049","(Bla)penA",NA,"ARO:3004185","mecD","Loose","ARO:0000015,ARO:3000008","methicillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","penA","ABRicate-ARGANNOT",94.29,"ARO:3003040","beta-lactam resistant penicillin-binding proteins","PBP"
"GMGC10.002_062_288.NEO",1,795,"+","(AGly)aphA15","1-795/795","===============","0/0",100,99.5,"argannot","Y18050:4758-5552","(AGly)aphA15",NA,"ARO:3004675","aphA15","Perfect","ARO:0000005,ARO:0000013,ARO:0000038,ARO:0000040,ARO:0000049","neomycin,amikacin,netilmicin,streptomycin,kanamycin A","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aphA15","ABRicate-ARGANNOT",99.5,"ARO:3000126","APH(3')","aph"
"GMGC10.002_063_573.UNKNOWN",199,717,"+","(AGly)aac6-31","1-519/519","===============","0/0",100,94.03,"argannot","AJ640197:2474-2992","(AGly)aac6-31",NA,"ARO:3002585","AAC(6')-31","Perfect","ARO:0000005,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000049,ARO:0000052,ARO:3000652,ARO:3007382","neomycin,amikacin,sisomicin,netilmicin,kanamycin A,tobramycin,isepamicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aac6-31","ABRicate-ARGANNOT",94.03,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_063_586.CPHA",1,789,"+","(Bla)blaFIM-1","1-789/789","===============","0/0",100,100,"argannot","JX570731:1937-2725","(Bla)blaFIM-1",NA,"ARO:3004786","FIM-1","Perfect","ARO:0000020,ARO:0000032","carbapenem,cephalosporin","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaFIM-1","ABRicate-ARGANNOT",100,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_063_753.UNKNOWN",1,543,"+","(AGly)aac6-IIb","1-543/543","===============","0/0",100,100,"argannot","L06163:532-1074","(AGly)aac6-IIb",NA,"ARO:3002595","AAC(6')-IIb","Perfect","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aac6-IIb","ABRicate-ARGANNOT",100,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_065_115.UNKNOWN",31,555,"+","(AGly)aac6-IIa","31-555/555","===============","0/0",94.59,81.14,"argannot","M29695:707-1261","(AGly)aac6-IIa",NA,"ARO:3002594","AAC(6')-IIa","Perfect","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aac6-IIa","ABRicate-ARGANNOT",81.14,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_066_333.CPHA",1,741,"+","(Bla)blaIMP-15","1-741/741","===============","0/0",100,100,"argannot","AY553333:114-854","(Bla)blaIMP-15",NA,"ARO:3002206","IMP-15","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaIMP-15","ABRicate-ARGANNOT",100,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_066_436.UNKNOWN",67,621,"-","(AGly)aac","1-555/555","===============","0/0",100,99.82,"argannot","AJ628983:1985-2539","(AGly)aac",NA,"ARO:3002594","AAC(6')-IIa","Strict","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aac","ABRicate-ARGANNOT",99.82,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_066_723.APH",1,989,"+","(AGly)aph9-Ia","1-989/996","========/======","2/4",99.1,85.57,"argannot","U94857:151-1146","(AGly)aph9-Ia",NA,"ARO:3002662","APH(9)-Ia","Perfect","ARO:0000039","spectinomycin","ARO:0000016","aminoglycoside antibiotic","AGly","aph9-Ia","ABRicate-ARGANNOT",85.57,"ARO:3000153","APH(9)","aph"
"GMGC10.002_067_741.CPHA",136,936,"+","(Bla)blaVIM-4","1-801/801","===============","0/0",100,100,"argannot","JF905459:707-1507","(Bla)blaVIM-4",NA,"ARO:3002274","VIM-4","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaVIM-4","ABRicate-ARGANNOT",100,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_072_504.YBXI",1,788,"+","(Bla)blaOXA-50","1-789/789","========/======","1/1",99.87,99.49,"argannot","AM117128:1-789","(Bla)blaOXA-50",NA,"ARO:3005727","OXA-494","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaOXA-50","ABRicate-ARGANNOT",99.49,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_072_838.NEO",1,806,"+","(AGly)aph(3'')-IIb","1-807/807","========/======","1/1",99.88,97.89,"argannot","X90856:388-1194","(AGly)aph(3'')-IIb",NA,"ARO:3002645","APH(3')-IIb","Perfect","ARO:0000005,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000655,ARO:3000657","neomycin,ribostamycin,butirosin,kanamycin A,gentamicin B,paromomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aph(3'')-IIb","ABRicate-ARGANNOT",97.89,"ARO:3000126","APH(3')","aph"
"GMGC10.002_080_555.CPHA",1,741,"+","(Bla)blaIMP-18","1-741/741","===============","0/0",100,99.86,"argannot","AB587676:1366-2106","(Bla)blaIMP-18",NA,"ARO:3002209","IMP-18","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaIMP-18","ABRicate-ARGANNOT",99.86,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_110_752.UNKNOWN",1,840,"+","(Bla)blaFEZ-1","1-840/849","===============","0/0",98.94,83.21,"argannot","Y17896:1-849","(Bla)blaFEZ-1",NA,"ARO:3000606","FEZ-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaFEZ-1","ABRicate-ARGANNOT",83.21,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_117_590.UNKNOWN",1,1444,"+","(MLS)msr(D)","1-1444/1464","===============","0/0",98.63,95.5,"argannot","AF274302:2462-3925","(MLS)msr(D)",NA,"ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","MLS","msr(D)","ABRicate-ARGANNOT",95.5,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.002_134_068.MBL1",55,855,"+","(Bla)blaCAU-1","52-855/870","========/======","4/7",91.84,82.51,"argannot","AJ308331:1-870","(Bla)blaCAU-1",NA,"ARO:3000855","CAU-1","Perfect","ARO:0000020,ARO:3000008","carbapenem,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaCAU-1","ABRicate-ARGANNOT",82.51,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_146_990.CPHA",1,729,"+","(Bla)blaCGB-1","1-729/729","===============","0/0",100,86.97,"argannot","EF672680:1-729","(Bla)blaCGB-1",NA,"ARO:3000841","CGB-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","Bla","blaCGB-1","ABRicate-ARGANNOT",86.97,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_148_544.UNKNOWN",1,879,"+","(Bla)blaCGA-1","1-879/879","========/======","2/6",99.66,84.58,"argannot","AF339733:437-1315","(Bla)blaCGA-1",NA,"ARO:3004766","CGA-1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","Bla","blaCGA-1","ABRicate-ARGANNOT",84.58,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.002_228_660.APHD",8,924,"+","(AGly)aph9-Ib","8-924/924","===============","0/0",99.24,82.12,"argannot","U70376:3618-4541","(AGly)aph9-Ib",NA,"ARO:3002658","APH(6)-Ib","Loose","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","AGly","aph9-Ib","ABRicate-ARGANNOT",82.12,"ARO:3000151","APH(6)","aph"
"GMGC10.002_229_830.UNKNOWN",1,864,"+","(AGly)vph","19-882/882","===============","0/0",97.96,85.3,"argannot","NG_048566:101-982","(AGly)vph",NA,"ARO:3003061","vph","Strict","ARO:0000018","viomycin","ARO:3000053","peptide antibiotic","AGly","vph","ABRicate-ARGANNOT",85.3,"ARO:3004261","viomycin phosphotransferase","vph"
"GMGC10.002_236_046.TETR",28,601,"+","(Tet)tetR","1-565/651","========/=====.","2/9",86.79,90.77,"argannot","HF545434:53576-54226","(Tet)tetR",NA,"ARO:3003479","tetR","Loose","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","Tet","tetR","ABRicate-ARGANNOT",90.77,"ARO:3000451","protein(s) and two-component regulatory system modulating antibiotic efflux","efflux pump"
"GMGC10.002_282_021.FOSB",61,477,"+","(Fcyn)FosA4","1-417/417","===============","0/0",100,100,"argannot","AB908992:1-417","(Fcyn)FosA4",NA,"ARO:3003210","FosA4","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","Fcyn","FosA4","ABRicate-ARGANNOT",100,"ARO:3000342","fosfomycin inactivation enzyme","fos"
"GMGC10.002_293_673.SCLAV_1483",1,977,"+","(Tet)otrC","1-977/1056","========/=====.","15/18",91.67,85.09,"argannot","AY509111:324-1379","(Tet)otrC",NA,"ARO:3002894","otr(C)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","Tet","otrC","ABRicate-ARGANNOT",85.09,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.002_303_585.UNKNOWN",1,552,"+","(AGly)aac6-Iaf","1-552/552","===============","0/0",100,98.01,"argannot","AB462903:1200-1751","(AGly)aac6-Iaf",NA,"ARO:3002574","AAC(6')-Iaf","Strict","ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379","dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AGly","aac6-Iaf","ABRicate-ARGANNOT",98.01,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_304_999.DHFR",1,564,"+","(Tmt)dfrA10","1-564/564","===============","0/0",100,100,"argannot","L06418:5494-6057","(Tmt)dfrA10",NA,"ARO:3003011","dfrA10","Perfect","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","Tmt","dfrA10","ABRicate-ARGANNOT",100,"ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"GMGC10.002_305_685.RV0906",1,1009,"+","(Bla)BlaA1","1-1018/1020","========/======","1/9",98.92,89.39,"argannot","NC_010410:1803480-1804499","(Bla)BlaA1",NA,"ARO:3000853","AIM-1","Loose","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","BlaA1","ABRicate-ARGANNOT",89.39,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_305_691.TETX",1,1167,"+","(Tet)tetX","1-1167/1167","===============","0/0",100,87.23,"argannot","M37699:586-1752","(Tet)tetX",NA,"ARO:3000205","tet(X)","Perfect","ARO:0000030,ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668","tigecycline,tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","Tet","tetX","ABRicate-ARGANNOT",87.23,"ARO:3000036","tetracycline inactivation enzyme","tet enzyme"
"GMGC10.002_309_342.TETA",1,1203,"+","(Tet)Tet(59)","1-1203/1203","===============","0/0",100,99.83,"argannot","NG_056044:101-1303","(Tet)Tet(59)",NA,"ARO:3004441","tet(59)","Perfect","ARO:0000051,ARO:3000528,ARO:3000668","tetracycline,chlortetracycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","Tet","Tet(59)","ABRicate-ARGANNOT",99.83,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.002_310_983.ARR",1,453,"+","(Rif)arr5","1-453/453","===============","0/0",100,100,"argannot","EF660563:393-845","(Rif)arr5",NA,"ARO:3002850","arr-5","Perfect","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","Rif","arr5","ABRicate-ARGANNOT",100,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.002_375_744.QNR",109,765,"+","(Flq)qnr-A2","1-657/657","===============","0/0",100,100,"argannot","AY675584:1-657","(Flq)qnr-A2",NA,"ARO:3002708","QnrA2","Perfect","ARO:0000036,ARO:0000071,ARO:0000074,ARO:3000659,ARO:3000661,ARO:3000662,ARO:3000666","ciprofloxacin,levofloxacin,moxifloxacin,gatifloxacin,nalidixic acid,norfloxacin,sparfloxacin","ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","Flq","qnr-A2","ABRicate-ARGANNOT",100,"ARO:3000419","quinolone resistance protein (qnr)","qnr"
"GMGC10.002_395_809.CPHA",1,762,"+","(Bla)imiH","4-765/765","===============","0/0",99.61,95.41,"argannot","AJ548797:924-1688","(Bla)imiH",NA,"ARO:3003094","imiH","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","Bla","imiH","ABRicate-ARGANNOT",95.41,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_395_947.EPTA",1,1623,"+","(Col)mcr-3.27","1-1623/1623","===============","0/0",100,99.88,"argannot","NG_064790:1-1623","(Col)mcr-3.27",NA,"ARO:3007253","MCR-3.27","Perfect","ARO:3000622,ARO:3000624","colistin A,colistin B","ARO:3000053,ARO:3000053","peptide antibiotic,peptide antibiotic","Col","mcr-3.27","ABRicate-ARGANNOT",99.88,"ARO:3003580","gene altering cell wall charge","cell wall charge"
"GMGC10.002_405_055.MRDA",1,1902,"+","(Bla)Penicillin_Binding_Protein_Ecoli","1-1902/1902","===============","0/0",100,81.65,"argannot","CP002291:664439-666340","(Bla)Penicillin_Binding_Protein_Ecoli",NA,"ARO:3001209","mecC","Loose","ARO:0000015,ARO:3000008","methicillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","Bla","Penicillin_Binding_Protein_Ecoli","ABRicate-ARGANNOT",81.65,"ARO:3003040","beta-lactam resistant penicillin-binding proteins","PBP"
