"query","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","gene","drug","ARO","V17","V18","V19","V20","V21","V22","pipeline","id","parent","parent_description","geneclass_argcompare"
"GMGC10.001_997_366.BLA",28,936,"+","blaAER-1_1","7-915/915","===============","0/0",99.34,83.72,"resfinder","U14748","blaAER-1","","ARO:3002481","AER-1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",83.72,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.002_004_514.AADA",505,1293,"+","aadA4_1","1-789/789","===============","0/0",100,99.62,"resfinder","Z50802","aadA4","Streptomycin","ARO:3002604","aadA4","Strict","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",99.62,"ARO:3004275","ANT(3'')","ant"
"GMGC10.002_041_966.UNKNOWN",1,801,"+","blaOXA-46_1","1-801/801","===============","0/0",100,100,"resfinder","AF317511","blaOXA-46","Amoxicillin;Ampicillin","ARO:3001797","OXA-46","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_053_328.YBXI",1,804,"+","blaOXA-129_1","1-804/804","===============","0/0",100,100,"resfinder","FJWZ01000025","blaOXA-129","","ARO:3001811","OXA-129","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_054_360.FTSI",1,1749,"+","penA_1","1-1746/1746","========/======","1/3",100,93.71,"resfinder","AF515059","penA","","ARO:3004185","mecD","Loose","ARO:0000015,ARO:3000008","methicillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",93.71,"ARO:3003040","beta-lactam resistant penicillin-binding proteins","PBP"
"GMGC10.002_062_288.NEO",1,795,"+","aph(3')-XV_3","1-795/795","===============","0/0",100,100,"resfinder","EU165039","aph(3')-XV","","ARO:3004675","aphA15","Strict","ARO:0000005,ARO:0000013,ARO:0000038,ARO:0000040,ARO:0000049","neomycin,amikacin,netilmicin,streptomycin,kanamycin A","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",100,"ARO:3000126","APH(3')","aph"
"GMGC10.002_063_573.UNKNOWN",199,717,"+","aac(6')-31_1","1-519/519","===============","0/0",100,94.03,"resfinder","AM283489","aac(6')-31","Amikacin;Gentamicin;Tobramycin","ARO:3002585","AAC(6')-31","Perfect","ARO:0000005,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000049,ARO:0000052,ARO:3000652,ARO:3007382","neomycin,amikacin,sisomicin,netilmicin,kanamycin A,tobramycin,isepamicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",94.03,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_065_115.UNKNOWN",31,555,"+","aac(6')-IIa_1","31-555/555","===============","0/0",94.59,81.14,"resfinder","M29695","aac(6')-IIa","Gentamicin;Tobramycin","ARO:3002594","AAC(6')-IIa","Perfect","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",81.14,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_067_741.CPHA",136,936,"+","blaVIM-4_1","1-801/801","===============","0/0",100,100,"resfinder","EU581706","blaVIM-4","Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam","ARO:3002274","VIM-4","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",100,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_068_661.UNKNOWN",943,1350,"+","fosA_4","1-408/408","===============","0/0",100,99.27,"resfinder","ACWU01000146","fosA","Fosfomycin","ARO:3000149","FosA","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ABRicate-ResFinder",99.27,"ARO:3000342","fosfomycin inactivation enzyme","fos"
"GMGC10.002_072_504.YBXI",1,788,"+","blaOXA-396_1","1-789/789","========/======","1/1",99.87,99.87,"resfinder","AY306134","blaOXA-396","Amoxicillin;Ampicillin;Meropenem","ARO:3001582","OXA-396","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",99.87,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_072_838.NEO",1,806,"+","aph(3')-IIb_2","1-807/807","========/======","1/1",99.88,99.38,"resfinder","CP006832","aph(3')-IIb","","ARO:3002645","APH(3')-IIb","Strict","ARO:0000005,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000655,ARO:3000657","neomycin,ribostamycin,butirosin,kanamycin A,gentamicin B,paromomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",99.38,"ARO:3000126","APH(3')","aph"
"GMGC10.002_117_590.UNKNOWN",1,1444,"+","msr(D)_3","1-1444/1464","===============","0/0",98.63,95.78,"resfinder","AF227520","msr(D)","Erythromycin;Azithromycin;Telithromycin;Quinupristin;Pristinamycin_IA;Virginiamycin_S","ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","ABRicate-ResFinder",95.78,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.002_228_660.APHD",1,913,"+","aph(6)-Ib_1","1-913/924","========/======","4/4",98.59,81.86,"resfinder","X05648","aph(6)-Ib","Streptomycin","ARO:3002658","APH(6)-Ib","Perfect","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","ABRicate-ResFinder",81.86,"ARO:3000151","APH(6)","aph"
"GMGC10.002_282_021.FOSB",61,477,"+","fosA3_1","1-417/417","===============","0/0",100,91.37,"resfinder","AB522970","fosA3","Fosfomycin","ARO:3002872","FosA3","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ABRicate-ResFinder",91.37,"ARO:3000342","fosfomycin inactivation enzyme","fos"
"GMGC10.002_293_673.SCLAV_1483",1,977,"+","otr(C)_1","1-977/1056","========/=====.","15/18",91.67,85.09,"resfinder","AY509111","otr(C)","Doxycycline;Tetracycline","ARO:3002894","otr(C)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",85.09,"ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"GMGC10.002_304_999.DHFR",1,564,"+","dfrA10_1","1-564/564","===============","0/0",100,100,"resfinder","L06418","dfrA10","Trimethoprim","ARO:3003011","dfrA10","Perfect","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ABRicate-ResFinder",100,"ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"GMGC10.002_305_691.TETX",1,1167,"+","tet(X)_1","1-1167/1167","===============","0/0",100,87.32,"resfinder","GU014535","tet(X)","Doxycycline;Tetracycline;Minocycline;Tigecycline","ARO:3000205","tet(X)","Strict","ARO:0000030,ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668","tigecycline,tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ABRicate-ResFinder",87.32,"ARO:3000036","tetracycline inactivation enzyme","tet enzyme"
"GMGC10.002_309_342.TETA",1,1203,"+","tet(59)_1","1-1203/1203","===============","0/0",100,99.83,"resfinder","KU736878","tet(59)","Doxycycline;Tetracycline","ARO:3004441","tet(59)","Perfect","ARO:0000051,ARO:3000528,ARO:3000668","tetracycline,chlortetracycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ABRicate-ResFinder",99.83,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.002_375_744.QNR",109,765,"+","qnrA2_1","1-657/657","===============","0/0",100,100,"resfinder","AY675584","qnrA2","Ciprofloxacin","ARO:3002708","QnrA2","Perfect","ARO:0000036,ARO:0000071,ARO:0000074,ARO:3000659,ARO:3000661,ARO:3000662,ARO:3000666","ciprofloxacin,levofloxacin,moxifloxacin,gatifloxacin,nalidixic acid,norfloxacin,sparfloxacin","ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","ABRicate-ResFinder",100,"ARO:3000419","quinolone resistance protein (qnr)","qnr"
"GMGC10.002_395_809.CPHA",1,762,"+","cphA2_6","4-765/765","===============","0/0",99.61,95.54,"resfinder","AHU60294","cphA2","","ARO:3003099","cphA2","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",95.54,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_395_947.EPTA",1,1623,"+","mcr-3.15_1","1-1623/1623","===============","0/0",100,99.81,"resfinder","MH332765","mcr-3.15","Colistin","ARO:3007252","MCR-3.15","Perfect","ARO:3000622,ARO:3000624","colistin A,colistin B","ARO:3000053,ARO:3000053","peptide antibiotic,peptide antibiotic","ABRicate-ResFinder",99.81,"ARO:3003580","gene altering cell wall charge","cell wall charge"
"GMGC10.002_425_308.FOLA",229,702,"+","dfrA7_1","1-474/474","===============","0/0",100,100,"resfinder","AB161450","dfrA7","Trimethoprim","ARO:3002862","dfrA7","Strict","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ABRicate-ResFinder",100,"ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"GMGC10.002_430_984.FOSB",1,417,"+","fosB1_1","1-417/417","===============","0/0",100,99.28,"resfinder","CP001903","fosB1","Fosfomycin","ARO:3007372","FosBx1","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ABRicate-ResFinder",99.28,"ARO:3000342","fosfomycin inactivation enzyme","fos"
"GMGC10.002_444_244.HISI",1,756,"+","ant(4')-IIb_1","1-756/756","===============","0/0",100,99.6,"resfinder","AY114142","ant(4')-IIb","Amikacin;Tobramycin","ARO:3002625","ANT(4')-IIb","Strict","ARO:0000013,ARO:0000052,ARO:3000652","amikacin,tobramycin,isepamicin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-ResFinder",99.6,"ARO:3000229","ANT(4')","ant"
"GMGC10.002_447_139.BLA",1,851,"+","blaVHH-1_1","1-851/852","========/======","2/2",99.77,84.62,"resfinder","NG050334","blaVHH-1","","ARO:3007003","VHH-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000637","carbapenem,cephalosporin,ampicillin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",84.62,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.002_457_180.GPT",1,465,"+","tet(34)_1","1-465/465","===============","0/0",100,83.01,"resfinder","AB061440","tet(34)","","ARO:3002870","tet(34)","Manual","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",83.01,"ARO:3000012","protein(s) conferring antibiotic resistance via molecular bypass","molecular bypass"
"GMGC10.002_470_057.TETA",1,1218,"+","tet(E)_3","1-1218/1218","===============","0/0",100,100,"resfinder","CP000645","tet(E)","Doxycycline;Tetracycline","ARO:3000173","tet(E)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",100,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.002_470_232.AMPC",1,1149,"+","blaFOX-2_1","1-1149/1149","===============","0/0",100,98.69,"resfinder","Y10282","blaFOX-2","","ARO:3002156","FOX-2","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",98.69,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.002_473_343.UNKNOWN",1,793,"+","ampS_1","1-793/795","===============","0/0",99.75,91.68,"resfinder","X80276","ampS","","ARO:3008720","OXA-725","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",91.68,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_481_731.AMPC",127,1149,"+","blaFOX-1_1","109-1131/1149",".==============","0/0",89.03,81.23,"resfinder","X77455","blaFOX-1","","ARO:3002155","FOX-1","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",81.23,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.002_487_600.OXA",1,793,"+","blaOXA-427_1","1-793/795","===============","0/0",99.75,89.16,"resfinder","KX827604","blaOXA-427","Amoxicillin;Ampicillin;Aztreonam;Cefepime;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam;Temocillin","ARO:3003115","OXA-427","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",89.16,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_494_474.AMPC",39,1147,"+","blaCMY-8b_1","39-1144/1149","========/======","1/3",96.26,82.6,"resfinder","DQ094251","blaCMY-8b","Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid","ARO:3006464","CMY-8b","Perfect","ARO:3009106","second-generation cephalosporin","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",82.6,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.002_496_517.CPHA",1,749,"+","cphA5_1","4-752/765","===============","0/0",97.91,92.92,"resfinder","AY227051","cphA5","","ARO:3003101","cphA5","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ABRicate-ResFinder",92.92,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_502_077.OXA",100,765,"+","blaOXA-427_1","130-795/795","..=============","0/0",83.77,86.94,"resfinder","KX827604","blaOXA-427","Amoxicillin;Ampicillin;Aztreonam;Cefepime;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam;Temocillin","ARO:3003115","OXA-427","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",86.94,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_505_609.OXA",1,788,"+","blaOXA-427_1","1-788/795","===============","0/0",99.12,87.94,"resfinder","KX827604","blaOXA-427","Amoxicillin;Ampicillin;Aztreonam;Cefepime;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam;Temocillin","ARO:3003115","OXA-427","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",87.94,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_517_021.OXA",1,795,"+","ampH_2","1-795/795","===============","0/0",100,85.41,"resfinder","HQ586946","ampH","","ARO:3008727","OXA-950","Strict","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",85.41,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_517_362.AMPC",108,1137,"+","blaMOX-6_1","117-1146/1152",".=======/======","2/2",89.32,87.68,"resfinder","GQ152601","blaMOX-6","","ARO:3002185","MOX-6","Perfect","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",87.68,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.002_523_414.AMPC",1,1149,"+","blaTRU_1","1-1149/1149","===============","0/0",100,96.87,"resfinder","EU046614","blaTRU","","ARO:3004450","TRU-1","Perfect","ARO:0000032,ARO:3000008,ARO:3000704","cephalosporin,penicillin beta-lactam,cefalotin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",96.87,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.002_525_975.OXA",1,795,"+","ampS_1","1-795/795","===============","0/0",100,95.22,"resfinder","X80276","ampS","","ARO:3008720","OXA-725","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",95.22,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_528_339.AMPC",199,1266,"+","blaMOX-4_1","85-1143/1149",".=======/======","6/13",91.99,84.39,"resfinder","FJ262599","blaMOX-4","","ARO:3002184","MOX-4","Perfect","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",84.39,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.002_743_408.YBXI",1,846,"+","blaOXA-274_1","1-846/846","===============","0/0",100,100,"resfinder","APOS01000038","blaOXA-274","","ARO:3001730","OXA-274","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_797_915.CPHA",1,741,"+","blaIMP-1_1","1-741/741","===============","0/0",100,100,"resfinder","EF027105","blaIMP-1","Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam","ARO:3002192","IMP-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",100,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_818_226.YBXI",1,837,"+","blaOXA-287_1","1-837/837","===============","0/0",100,90.8,"resfinder","NG_050609","blaOXA-287","","ARO:3001742","","","","","","","ABRicate-ResFinder",90.8,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_822_786.YBXI",1,822,"+","blaOXA-213_1","1-822/822","===============","0/0",100,100,"resfinder","JN861781","blaOXA-213","Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid","ARO:3001712","OXA-213","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-ResFinder",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_847_492.CMR",1,1380,"+","cmr_1","1-1380/1380","===============","0/0",100,97.32,"resfinder","U43535","cmr","","ARO:3007838","tet(65)","Loose","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-ResFinder",97.32,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
