"query","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","gene","ARG.class","ARO","V17","V18","V19","V20","V21","V22","pipeline","id","parent","parent_description","geneclass_argcompare"
"GMGC10.001_990_215.UNKNOWN",1,897,"+","blaVEB-14","1-897/897","===============","0/0",100,100,"ncbi","NG_050322.1","class A extended-spectrum beta-lactamase VEB-14","CEPHALOSPORIN","ARO:3006211","","","","","","","ABRicate-NCBI",100,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.001_997_366.BLA",28,936,"+","blaAER-1","7-915/915","===============","0/0",99.34,83.72,"ncbi","NG_048688.1","carbenicillin-hydrolyzing class A beta-lactamase AER-1","BETA-LACTAM","ARO:3002481","AER-1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","ABRicate-NCBI",83.72,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.002_004_514.AADA",505,1293,"+","aadA4","1-789/789","===============","0/0",100,100,"ncbi","NG_052359.1","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA4","STREPTOMYCIN","ARO:3002604","aadA4","Strict","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",100,"ARO:3004275","ANT(3'')","ant"
"GMGC10.002_040_065.PPS",1,2594,"+","rphC","1-2606/2607","========/======","7/20",99.35,83.91,"ncbi","NG_063825.1","rifamycin-inactivating phosphotransferase RphC","RIFAMYCIN","ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","ABRicate-NCBI",83.91,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.002_041_966.UNKNOWN",1,801,"+","blaOXA-46","1-801/801","===============","0/0",100,100,"ncbi","NG_049745.1","oxacillin-hydrolyzing class D beta-lactamase OXA-46","BETA-LACTAM","ARO:3001797","OXA-46","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_053_328.YBXI",1,804,"+","blaOXA-129","1-804/804","===============","0/0",100,100,"ncbi","NG_049428.1","OXA-5 family class D beta-lactamase OXA-129","BETA-LACTAM","ARO:3001811","OXA-129","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_062_288.NEO",1,795,"+","aph(3')-XV","1-795/795","===============","0/0",100,100,"ncbi","NG_052510.1","aminoglycoside O-phosphotransferase APH(3')-XV","AMIKACIN;KANAMYCIN","ARO:3004675","aphA15","Strict","ARO:0000005,ARO:0000013,ARO:0000038,ARO:0000040,ARO:0000049","neomycin,amikacin,netilmicin,streptomycin,kanamycin A","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",100,"ARO:3000126","APH(3')","aph"
"GMGC10.002_063_573.UNKNOWN",163,717,"+","aacA8","1-555/555","===============","0/0",100,100,"ncbi","NG_052107.1","aminoglycoside 6'-N-acetyltransferase AacA8","AMINOGLYCOSIDE","ARO:3002585","AAC(6')-31","Strict","ARO:0000005,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000049,ARO:0000052,ARO:3000652,ARO:3007382","neomycin,amikacin,sisomicin,netilmicin,kanamycin A,tobramycin,isepamicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",100,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_065_115.UNKNOWN",1,555,"+","aac(6')-set_A","1-555/555","===============","0/0",100,100,"ncbi","NG_052423.1","aminoglycoside 6'-N-acetyltransferase","AMINOGLYCOSIDE","ARO:3002549","AAC(6')-Ic","Strict","ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379","dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",100,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_065_956.AMPC",4,1149,"+","blaPAC-1","1-1146/1146","===============","0/0",100,100,"ncbi","NG_052627.1","inhibitior-resistant cephalosporin-hydrolyzing class C beta-lactamase PAC-1","CEPHALOSPORIN","ARO:3005150","PAC-1","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ABRicate-NCBI",100,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.002_066_436.UNKNOWN",67,621,"-","aacA35","1-555/555","===============","0/0",100,99.82,"ncbi","NG_047269.1","AAC(6')-II family aminoglycoside 6'-N-acetyltransferase AacA35","GENTAMICIN;KANAMYCIN;TOBRAMYCIN","ARO:3002594","AAC(6')-IIa","Strict","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",99.82,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_067_741.CPHA",136,936,"+","blaVIM-4","1-801/801","===============","0/0",100,100,"ncbi","NG_050367.1","subclass B1 metallo-beta-lactamase VIM-4","CARBAPENEM","ARO:3002274","VIM-4","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",100,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_068_128.UNKNOWN",163,717,"+","aac(6')-Ib-AKT","1-555/555","===============","0/0",100,99.82,"ncbi","NG_052262.1","AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase","AMIKACIN;KANAMYCIN;TOBRAMYCIN","ARO:3002546","AAC(6')-Ib","Perfect","ARO:0000013,ARO:0000049,ARO:0000052","amikacin,kanamycin A,tobramycin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",99.82,"ARO:3000345","AAC(6')","aac"
"GMGC10.002_068_661.UNKNOWN",943,1350,"+","fosA-354827590","1-408/408","===============","0/0",100,99.27,"ncbi","NG_047883.1","FosA family fosfomycin resistance glutathione transferase","FOSFOMYCIN","ARO:3007371","FosA8","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ABRicate-NCBI",99.27,"ARO:3000342","fosfomycin inactivation enzyme","fos"
"GMGC10.002_072_504.YBXI",1,788,"+","blaOXA-396","1-789/789","========/======","1/1",99.87,99.87,"ncbi","NG_049685.1","OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-396","BETA-LACTAM","ARO:3001582","OXA-396","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",99.87,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_072_838.NEO",1,806,"+","aph(3')-IIb","1-807/807","========/======","1/1",99.88,99.38,"ncbi","NG_047424.1","aminoglycoside O-phosphotransferase APH(3')-IIb","KANAMYCIN","ARO:3002645","APH(3')-IIb","Perfect","ARO:0000005,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000655,ARO:3000657","neomycin,ribostamycin,butirosin,kanamycin A,gentamicin B,paromomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",99.38,"ARO:3000126","APH(3')","aph"
"GMGC10.002_078_327.PPS",1,2615,"+","rphC","1-2606/2607","========/======","1/9",99.96,83.94,"ncbi","NG_063825.1","rifamycin-inactivating phosphotransferase RphC","RIFAMYCIN","ARO:3003992","rphB","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","ABRicate-NCBI",83.94,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.002_117_590.UNKNOWN",1,1444,"+","msr(D)","1-1444/1464","===============","0/0",98.63,95.78,"ncbi","NG_048005.1","ABC-F type ribosomal protection protein Msr(D)","MACROLIDE","ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","ABRicate-NCBI",95.78,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"GMGC10.002_134_068.MBL1",55,855,"+","blaCAU-1","52-855/870","========/======","4/7",91.84,82.51,"ncbi","NG_048755.1","subclass B3 metallo-beta-lactamase CAU-1","CARBAPENEM","ARO:3000855","CAU-1","Perfect","ARO:0000020,ARO:3000008","carbapenem,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",82.51,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_228_660.APHD",1,913,"+","aph(6)-Ib","1-913/924","========/======","4/4",98.59,81.86,"ncbi","NG_047460.1","aminoglycoside O-phosphotransferase APH(6)-Ib","STREPTOMYCIN","ARO:3002658","APH(6)-Ib","Perfect","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","ABRicate-NCBI",81.86,"ARO:3000151","APH(6)","aph"
"GMGC10.002_234_554.CUTR",1,652,"+","vanR-O","10-661/702","========/======","2/6",92.45,80.61,"ncbi","NG_048424.1","VanO-type vancomycin resistance response regulator transcription factor VanR","VANCOMYCIN","ARO:3002930","","","","","","","ABRicate-NCBI",80.61,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
"GMGC10.002_270_730.AACC",1,810,"+","aac(3)-II","1-810/810","===============","0/0",100,100,"ncbi","NG_047231.1","AAC(3)-II family aminoglycoside N-acetyltransferase","GENTAMICIN","ARO:3005085","","","","","","","ABRicate-NCBI",100,"ARO:3000322","AAC(3)","aac"
"GMGC10.002_270_731.ARR",1,414,"+","arr-269927220","1-414/414","===============","0/0",100,100,"ncbi","NG_047480.1","NAD(+)--rifampin ADP-ribosyltransferase","RIFAMYCIN","ARO:3002846","arr-1","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","ABRicate-NCBI",100,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
"GMGC10.002_282_021.FOSB",61,477,"+","fosA4","1-417/417","===============","0/0",100,100,"ncbi","NG_050408.1","fosfomycin resistance glutathione transferase FosA4","FOSFOMYCIN","ARO:3003210","FosA4","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ABRicate-NCBI",100,"ARO:3000342","fosfomycin inactivation enzyme","fos"
"GMGC10.002_304_999.DHFR",1,564,"+","dfrA10","1-564/564","===============","0/0",100,100,"ncbi","NG_047686.1","trimethoprim-resistant dihydrofolate reductase DfrA10","TRIMETHOPRIM","ARO:3003011","dfrA10","Perfect","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ABRicate-NCBI",100,"ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"GMGC10.002_305_691.TETX",1,1167,"+","tet(X)","1-1167/1167","===============","0/0",100,100,"ncbi","NG_065853.1","tetracycline-inactivating monooxygenase Tet(X)","TETRACYCLINE","ARO:3000205","","","","","","","ABRicate-NCBI",100,"ARO:3000036","tetracycline inactivation enzyme","tet enzyme"
"GMGC10.002_309_342.TETA",1,1203,"+","tet(59)","1-1203/1203","===============","0/0",100,99.83,"ncbi","NG_056044.1","tetracycline efflux MFS transporter Tet(59)","TETRACYCLINE","ARO:3004441","tet(59)","Perfect","ARO:0000051,ARO:3000528,ARO:3000668","tetracycline,chlortetracycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ABRicate-NCBI",99.83,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.002_375_744.QNR",109,765,"+","qnrA2","1-657/657","===============","0/0",100,100,"ncbi","NG_050463.1","quinolone resistance pentapeptide repeat protein QnrA2","QUINOLONE","ARO:3002708","QnrA2","Perfect","ARO:0000036,ARO:0000071,ARO:0000074,ARO:3000659,ARO:3000661,ARO:3000662,ARO:3000666","ciprofloxacin,levofloxacin,moxifloxacin,gatifloxacin,nalidixic acid,norfloxacin,sparfloxacin","ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","ABRicate-NCBI",100,"ARO:3000419","quinolone resistance protein (qnr)","qnr"
"GMGC10.002_395_809.CPHA",1,762,"+","cphA2","4-765/765","===============","0/0",99.61,95.54,"ncbi","NG_050396.1","subclass B2 metallo-beta-lactamase CphA2","CARBAPENEM","ARO:3003099","cphA2","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ABRicate-NCBI",95.54,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_395_947.EPTA",1,1623,"+","mcr-3.27","1-1623/1623","===============","0/0",100,99.88,"ncbi","NG_064790.1","phosphoethanolamine--lipid A transferase MCR-3.27","COLISTIN","ARO:3007253","MCR-3.27","Perfect","ARO:3000622,ARO:3000624","colistin A,colistin B","ARO:3000053,ARO:3000053","peptide antibiotic,peptide antibiotic","ABRicate-NCBI",99.88,"ARO:3003580","gene altering cell wall charge","cell wall charge"
"GMGC10.002_425_308.FOLA",229,702,"+","dfrA7","1-474/474","===============","0/0",100,100,"ncbi","NG_047737.1","trimethoprim-resistant dihydrofolate reductase DfrA7","TRIMETHOPRIM","ARO:3002862","dfrA7","Perfect","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ABRicate-NCBI",100,"ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"GMGC10.002_430_984.FOSB",1,417,"+","fosB_gen","1-417/417","===============","0/0",100,99.28,"ncbi","NG_055636.1","FosB/FosD family fosfomycin resistance bacillithiol transferase","FOSFOMYCIN","ARO:3004661","Staphylococcus aureus FosB","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ABRicate-NCBI",99.28,"ARO:3000342","fosfomycin inactivation enzyme","fos"
"GMGC10.002_444_244.HISI",1,756,"+","ant(4')-IIb","1-756/756","===============","0/0",100,99.6,"ncbi","NG_047391.1","aminoglycoside nucleotidyltransferase ANT(4')-IIb","AMIKACIN;KANAMYCIN;TOBRAMYCIN","ARO:3002625","ANT(4')-IIb","Perfect","ARO:0000013,ARO:0000052,ARO:3000652","amikacin,tobramycin,isepamicin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ABRicate-NCBI",99.6,"ARO:3000229","ANT(4')","ant"
"GMGC10.002_447_139.BLA",1,851,"+","blaVHH-1","1-851/852","========/======","2/2",99.77,84.62,"ncbi","NG_050334.1","carbenicillin-hydrolyzing class A beta-lactamase VHH-1","BETA-LACTAM","ARO:3007003","VHH-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000637","carbapenem,cephalosporin,ampicillin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",84.62,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"GMGC10.002_457_180.GPT",1,465,"+","tet(34)","1-465/465","===============","0/0",100,83.01,"ncbi","NG_048129.1","oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)","TETRACYCLINE","ARO:3002870","tet(34)","Manual","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-NCBI",83.01,"ARO:3000012","protein(s) conferring antibiotic resistance via molecular bypass","molecular bypass"
"GMGC10.002_470_057.TETA",1,1218,"+","tet(E)","1-1218/1218","===============","0/0",100,100,"ncbi","NG_048188.1","tetracycline efflux MFS transporter Tet(E)","TETRACYCLINE","ARO:3000173","tet(E)","Loose","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ABRicate-NCBI",100,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"GMGC10.002_470_232.AMPC",1,1149,"+","blaFOX-2","1-1149/1149","===============","0/0",100,98.69,"ncbi","NG_049102.1","cephalosporin-hydrolyzing class C beta-lactamase FOX-2","CEPHALOSPORIN","ARO:3002156","FOX-2","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ABRicate-NCBI",98.69,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.002_473_343.UNKNOWN",1,786,"+","blaOXA-12","1-786/795","===============","0/0",98.87,93.38,"ncbi","NG_049418.1","oxacillin-hydrolyzing class D beta-lactamase OXA-12","BETA-LACTAM","ARO:3001407","OXA-12","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",93.38,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_487_600.OXA",1,793,"+","blaOXA-427","1-793/795","===============","0/0",99.75,89.16,"ncbi","NG_055581.1","class D beta-lactamase OXA-427","BETA-LACTAM","ARO:3003115","","","","","","","ABRicate-NCBI",89.16,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_494_474.AMPC",1,1152,"+","blaMOX-9","1-1152/1152","===============","0/0",100,99.91,"ncbi","NG_049322.1","CMY-1/MOX family class C beta-lactamase MOX-9","CEPHALOSPORIN","ARO:3002191","MOX-9","Perfect","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",99.91,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"GMGC10.002_496_517.CPHA",1,749,"+","cphA5","4-752/765","===============","0/0",97.91,92.92,"ncbi","NG_050398.1","subclass B2 metallo-beta-lactamase CphA5","CARBAPENEM","ARO:3003101","cphA5","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ABRicate-NCBI",92.92,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"GMGC10.002_502_077.OXA",100,765,"+","blaOXA-427","130-795/795","..=============","0/0",83.77,86.94,"ncbi","NG_055581.1","class D beta-lactamase OXA-427","BETA-LACTAM","ARO:3003115","","","","","","","ABRicate-NCBI",86.94,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_505_609.OXA",1,787,"+","blaOXA-504","1-787/795","===============","0/0",98.99,92.63,"ncbi","NG_049782.1","class D beta-lactamase OXA-504","BETA-LACTAM","ARO:3005734","OXA-504","Perfect","ARO:0000056","oxacillin","ARO:3000007","beta-lactam antibiotic","ABRicate-NCBI",92.63,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_517_021.OXA",1,795,"+","blaOXA-427","1-795/795","========/======","2/4",99.75,85.44,"ncbi","NG_055581.1","class D beta-lactamase OXA-427","BETA-LACTAM","ARO:3003115","","","","","","","ABRicate-NCBI",85.44,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"GMGC10.002_517_362.AMPC",108,1137,"+","blaMOX-12","117-1146/1152",".=======/======","2/4",89.24,88.47,"ncbi","NG_049314.1","CMY-1/MOX family class C beta-lactamase MOX-12","CEPHALOSPORIN","ARO:3006477","MOX-12","Perfect","ARO:0000032,ARO:3000008","cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ABRicate-NCBI",88.47,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
