"Protein.id","query","Start","Stop","Strand","Element.symbol","Element.name","Scope","Type","Subtype","ARG.class","ARG.subclass","Method","Target.length","Reference.sequence.length","X..Coverage.of.reference","X..Identity.to.reference","Alignment.length","Closest.reference.accession","Closest.reference.name","HMM.accession","HMM.description","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","parent","parent_description","geneclass_argcompare"
NA,"GMGC10.001_366_532.STRA",622,1422,"+","aph(3'')-Ib","aminoglycoside O-phosphotransferase APH(3'')-Ib","core","AMR","AMR","AMINOGLYCOSIDE","STREPTOMYCIN","EXACTX",267,267,100,100,267,"WP_001082319.1","aminoglycoside O-phosphotransferase APH(3'')-Ib",NA,NA,"ARO:3002639","APH(3'')-Ib","Strict","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000127","APH(3'')","aph"
NA,"GMGC10.001_760_058.UNKNOWN",157,1263,"+","mef(En2)","macrolide efflux MFS transporter Mef(En2)","core","AMR","AMR","MACROLIDE","MACROLIDE","BLASTX",369,401,92.02,91.33,369,"WP_063853729.1","macrolide efflux MFS transporter Mef(En2)",NA,NA,"ARO:3004659","Mef(En2)","Perfect","ARO:0000000,ARO:0000046","macrolide antibiotic,lincomycin","ARO:0000000,ARO:0000017","macrolide antibiotic,lincosamide antibiotic","AMRFinderPlus-nt",91.33,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
NA,"GMGC10.001_913_016.UNKNOWN",64,1518,"+","msr(D)","ABC-F type ribosomal protection protein Msr(D)","core","AMR","AMR","MACROLIDE/STREPTOGRAMIN","AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B","BLASTX",485,487,99.59,91.13,485,"WP_000420313.1","ABC-F type ribosomal protection protein Msr(D)",NA,NA,"ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","AMRFinderPlus-nt",91.13,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
NA,"GMGC10.001_965_233.UNKNOWN",70,531,"+","aac(3)-Ia","aminoglycoside N-acetyltransferase AAC(3)-Ia","core","AMR","AMR","AMINOGLYCOSIDE","GENTAMICIN","EXACTX",154,154,100,100,154,"WP_002089484.1","aminoglycoside N-acetyltransferase AAC(3)-Ia",NA,NA,"ARO:3002528","AAC(3)-Ia","Strict","ARO:0000003,ARO:0000035,ARO:3007382","astromicin,sisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000322","AAC(3)","aac"
NA,"GMGC10.001_983_519.AADA",502,1344,"+","aadA6","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6","core","AMR","AMR","AMINOGLYCOSIDE","STREPTOMYCIN","EXACTX",281,281,100,100,281,"WP_022675713.1","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6",NA,NA,"ARO:3002606","aadA6","Perfect","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3004275","ANT(3'')","ant"
NA,"GMGC10.001_990_215.UNKNOWN",1,894,"+","blaVEB-14","inhibitor-resistant extended-spectrum class A beta-lactamase VEB-14","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","ALLELEX",298,298,100,100,298,"WP_063865154.1","inhibitor-resistant extended-spectrum class A beta-lactamase VEB-14",NA,NA,"ARO:3006211","VEB-14","Perfect","ARO:0000004,ARO:0000032","monobactam,cephalosporin","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.002_004_514.AADA",505,1290,"+","aadA4","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA4","core","AMR","AMR","AMINOGLYCOSIDE","STREPTOMYCIN","EXACTX",262,262,100,100,262,"WP_004356282.1","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA4",NA,NA,"ARO:3002604","aadA4","Strict","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3004275","ANT(3'')","ant"
NA,"GMGC10.002_041_966.UNKNOWN",1,798,"+","blaOXA-46","oxacillin-hydrolyzing class D beta-lactamase OXA-46","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","ALLELEX",266,266,100,100,266,"WP_063864090.1","oxacillin-hydrolyzing class D beta-lactamase OXA-46",NA,NA,"ARO:3001797","OXA-46","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
NA,"GMGC10.002_053_328.YBXI",1,801,"+","blaOXA-129","OXA-5 family class D beta-lactamase OXA-129","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","ALLELEX",267,267,100,100,267,"WP_032492122.1","OXA-5 family class D beta-lactamase OXA-129",NA,NA,"ARO:3001811","OXA-129","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
NA,"GMGC10.002_061_068.UNKNOWN",4,480,"-","aph(3')-IIa","aminoglycoside O-phosphotransferase APH(3')-IIa","core","AMR","AMR","AMINOGLYCOSIDE","KANAMYCIN","PARTIAL_CONTIG_ENDX",159,264,60.23,91.19,159,"WP_000572405.1","aminoglycoside O-phosphotransferase APH(3')-IIa",NA,NA,"ARO:3002644","APH(3')-IIa","Perfect","ARO:0000005,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000655,ARO:3000657","neomycin,ribostamycin,butirosin,kanamycin A,gentamicin B,paromomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",91.19,"ARO:3000126","APH(3')","aph"
NA,"GMGC10.002_062_288.NEO",1,792,"+","aph(3')-XV","aminoglycoside O-phosphotransferase APH(3')-XV","core","AMR","AMR","AMINOGLYCOSIDE","AMIKACIN/KANAMYCIN","EXACTX",264,264,100,100,264,"WP_034067921.1","aminoglycoside O-phosphotransferase APH(3')-XV",NA,NA,"ARO:3004675","aphA15","Strict","ARO:0000005,ARO:0000013,ARO:0000038,ARO:0000040,ARO:0000049","neomycin,amikacin,netilmicin,streptomycin,kanamycin A","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000126","APH(3')","aph"
NA,"GMGC10.002_063_573.UNKNOWN",163,714,"+","aacA8","aminoglycoside 6'-N-acetyltransferase AacA8","core","AMR","AMR","AMINOGLYCOSIDE","AMINOGLYCOSIDE","EXACTX",184,184,100,100,184,"WP_051449075.1","aminoglycoside 6'-N-acetyltransferase AacA8",NA,NA,"ARO:3002585","AAC(6')-31","Strict","ARO:0000005,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000049,ARO:0000052,ARO:3000652,ARO:3007382","neomycin,amikacin,sisomicin,netilmicin,kanamycin A,tobramycin,isepamicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000345","AAC(6')","aac"
NA,"GMGC10.002_063_752.UNKNOWN",1,327,"-","aac(3)-I","AAC(3)-I family aminoglycoside 3-N-acetyltransferase","core","AMR","AMR","AMINOGLYCOSIDE","GENTAMICIN","PARTIAL_CONTIG_ENDX",109,154,70.78,100,109,"WP_063840256.1","AAC(3)-I family aminoglycoside 3-N-acetyltransferase",NA,NA,"ARO:3002528","AAC(3)-Ia","Strict","ARO:0000003,ARO:0000035,ARO:3007382","astromicin,sisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000322","AAC(3)","aac"
NA,"GMGC10.002_065_002.BLA",1,435,"+","blaVHW","VHW family class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","PARTIALX",145,290,50.34,93.15,146,"WP_063865165.1","carbenicillin-hydrolyzing class A beta-lactamase VHW-1",NA,NA,"ARO:3007004","VHW-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000637","carbapenem,cephalosporin,ampicillin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",93.15,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.002_065_115.UNKNOWN",1,552,"+","aac(6')","aminoglycoside 6'-N-acetyltransferase","core","AMR","AMR","AMINOGLYCOSIDE","AMINOGLYCOSIDE","EXACTX",184,184,100,100,184,"WP_071846334.1","aminoglycoside 6'-N-acetyltransferase",NA,NA,"ARO:3002594","AAC(6')-IIa","Strict","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000345","AAC(6')","aac"
NA,"GMGC10.002_065_677.AACC",1,675,"+","aac(3)-C1264","aminoglycoside N-acetyltransferase AAC(3)-C1264","core","AMR","AMR","AMINOGLYCOSIDE","GENTAMICIN/KANAMYCIN/TOBRAMYCIN","PARTIAL_CONTIG_ENDX",225,262,85.88,100,225,"WP_034000523.1","aminoglycoside N-acetyltransferase AAC(3)-C1264",NA,NA,"ARO:3002536","AAC(3)-IIIa","Loose","ARO:0000005,ARO:0000007,ARO:0000035,ARO:0000049,ARO:0000052,ARO:3000657,ARO:3000658,ARO:3007379,ARO:3007382","neomycin,dibekacin,sisomicin,kanamycin A,tobramycin,paromomycin,lividomycin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000322","AAC(3)","aac"
NA,"GMGC10.002_065_956.AMPC",4,1146,"+","blaPAC-1","inhibitior-resistant extended spectrum class C beta-lactamase PAC-1","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","ALLELEX",381,381,100,100,381,"WP_034051940.1","inhibitior-resistant extended spectrum class C beta-lactamase PAC-1",NA,NA,"ARO:3005150","PAC-1","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
NA,"GMGC10.002_066_436.UNKNOWN",70,621,"-","aacA35","AAC(6')-II family aminoglycoside 6'-N-acetyltransferase AacA35","core","AMR","AMR","AMINOGLYCOSIDE","GENTAMICIN/KANAMYCIN/TOBRAMYCIN","ALLELEX",184,184,100,100,184,"WP_024437054.1","AAC(6')-II family aminoglycoside 6'-N-acetyltransferase AacA35",NA,NA,"ARO:3002594","AAC(6')-IIa","Strict","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000345","AAC(6')","aac"
NA,"GMGC10.002_067_477.UNKNOWN",1,219,"-","aac(6')-29","aminoglycoside 6'-N-acetyltransferase AAC(6')-29","core","AMR","AMR","AMINOGLYCOSIDE","AMINOGLYCOSIDE","PARTIAL_CONTIG_ENDX",73,133,54.89,100,73,"WP_064190968.1","aminoglycoside N-acetyltransferase AAC(6')-29a",NA,NA,"ARO:3002583","AAC(6')-29a","Perfect","ARO:0000007,ARO:0000013,ARO:0000049,ARO:0000052,ARO:3000652","dibekacin,amikacin,kanamycin A,tobramycin,isepamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000345","AAC(6')","aac"
NA,"GMGC10.002_067_741.CPHA",136,933,"+","blaVIM-4","subclass B1 metallo-beta-lactamase VIM-4","core","AMR","AMR","BETA-LACTAM","CARBAPENEM","ALLELEX",266,266,100,100,266,"WP_032492008.1","subclass B1 metallo-beta-lactamase VIM-4",NA,NA,"ARO:3002274","VIM-4","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
NA,"GMGC10.002_068_128.UNKNOWN",163,714,"+","aac(6')-Ib","AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase","core","AMR","AMR","AMINOGLYCOSIDE","GENTAMICIN","EXACTX",184,184,100,100,184,"WP_022631510.1","AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase",NA,NA,"ARO:3002546","AAC(6')-Ib","Perfect","ARO:0000013,ARO:0000049,ARO:0000052","amikacin,kanamycin A,tobramycin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000345","AAC(6')","aac"
NA,"GMGC10.002_068_661.UNKNOWN",943,1347,"+","fosA","FosA family fosfomycin resistance glutathione transferase","core","AMR","AMR","FOSFOMYCIN","FOSFOMYCIN","EXACTX",135,135,100,100,135,"WP_003082280.1","FosA family fosfomycin resistance glutathione transferase",NA,NA,"ARO:3000149","FosA","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","AMRFinderPlus-nt",100,"ARO:3000342","fosfomycin inactivation enzyme","fos"
NA,"GMGC10.002_072_504.YBXI",1,714,"+","blaOXA","OXA-50 family oxacillin-hydrolyzing class D beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",238,262,90.84,98.32,238,"WP_016852290.1","OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-396",NA,NA,"ARO:3001582","OXA-396","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",98.32,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
NA,"GMGC10.002_072_838.NEO",1,519,"+","aph(3')-IIb","aminoglycoside O-phosphotransferase APH(3')-IIb","core","AMR","AMR","AMINOGLYCOSIDE","KANAMYCIN","PARTIALX",173,268,64.55,99.42,173,"WP_003113011.1","aminoglycoside O-phosphotransferase APH(3')-IIb",NA,NA,"ARO:3002645","APH(3')-IIb","Strict","ARO:0000005,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000655,ARO:3000657","neomycin,ribostamycin,butirosin,kanamycin A,gentamicin B,paromomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",99.42,"ARO:3000126","APH(3')","aph"
NA,"GMGC10.002_117_590.UNKNOWN",1,1452,"+","msr(D)","ABC-F type ribosomal protection protein Msr(D)","core","AMR","AMR","MACROLIDE/STREPTOGRAMIN","AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B","BLASTX",484,487,99.38,94.01,484,"WP_000420317.1","ABC-F type ribosomal protection protein Msr(D)",NA,NA,"ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","AMRFinderPlus-nt",94.01,"ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
NA,"GMGC10.002_270_730.AACC",1,807,"+","aac(3)-IIg","aminoglycoside N-acetyltransferase AAC(3)-IIg","core","AMR","AMR","AMINOGLYCOSIDE","GENTAMICIN","EXACTX",269,269,100,100,269,"WP_012695485.1","aminoglycoside N-acetyltransferase AAC(3)-IIg",NA,NA,"ARO:3005085","AAC(3)-IIg","Perfect","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007377,ARO:3007378,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,6'-N-ethylnetilmicin,2'-N-ethylnetilmicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000322","AAC(3)","aac"
NA,"GMGC10.002_270_731.ARR",1,411,"+","arr","NAD(+)--rifampin ADP-ribosyltransferase","core","AMR","AMR","RIFAMYCIN","RIFAMYCIN","EXACTX",137,137,100,100,137,"WP_012695486.1","NAD(+)--rifampin ADP-ribosyltransferase",NA,NA,"ARO:3002846","arr-1","Loose","ARO:3000169,ARO:3000517,ARO:3000530,ARO:3000534","rifampin,rifaximin,rifabutin,rifapentine","ARO:3000157,ARO:3000157,ARO:3000157,ARO:3000157","rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic,rifamycin antibiotic","AMRFinderPlus-nt",100,"ARO:3000576","rifampin inactivation enzyme","rifampin inactivation enzyme"
NA,"GMGC10.002_282_021.FOSB",61,474,"+","fosA4","fosfomycin resistance glutathione transferase FosA4","core","AMR","AMR","FOSFOMYCIN","FOSFOMYCIN","ALLELEX",138,138,100,100,138,"WP_034169466.1","fosfomycin resistance glutathione transferase FosA4",NA,NA,"ARO:3003210","FosA4","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","AMRFinderPlus-nt",100,"ARO:3000342","fosfomycin inactivation enzyme","fos"
NA,"GMGC10.002_289_798.UNKNOWN",45,446,"-","aadA5","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5","core","AMR","AMR","AMINOGLYCOSIDE","STREPTOMYCIN","PARTIAL_CONTIG_ENDX",134,262,51.15,100,134,"WP_000503573.1","ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5",NA,NA,"ARO:3002605","aadA5","Perfect","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3004275","ANT(3'')","ant"
NA,"GMGC10.002_304_999.DHFR",1,561,"+","dfrA10","trimethoprim-resistant dihydrofolate reductase DfrA10","core","AMR","AMR","TRIMETHOPRIM","TRIMETHOPRIM","EXACTX",187,187,100,100,187,"WP_001027119.1","trimethoprim-resistant dihydrofolate reductase DfrA10",NA,NA,"ARO:3003011","dfrA10","Perfect","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","AMRFinderPlus-nt",100,"ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
NA,"GMGC10.002_305_691.TETX",1,1164,"+","tet(X3)","tetracycline-inactivating monooxygenase Tet(X3)","core","AMR","AMR","TETRACYCLINE","TIGECYCLINE","EXACTX",388,388,100,100,388,"WP_024160783.1","tetracycline-inactivating monooxygenase Tet(X3)",NA,NA,"ARO:3004719","tet(X3)","Perfect","ARO:0000030,ARO:0000051","tigecycline,tetracycline","ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic","AMRFinderPlus-nt",100,"ARO:3000036","tetracycline inactivation enzyme","tet enzyme"
