"gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","query","Position.in.contig","Phenotype","Accession.no.","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","ARG.class","parent","parent_description","geneclass_argcompare"
"aac(3)-IIIb",85.14,"740/738",99.7289972899729,"1..738","GMGC10.001_968_355.AACC","88..825","Gentamicin, Tobramycin, Dibekacin, Sisomicin, Gentamicin, Tobramycin","L06160","ARO:3002537","AAC(3)-IIIb","Loose","ARO:0000005,ARO:0000007,ARO:0000035,ARO:0000049,ARO:0000052,ARO:3000657,ARO:3000658,ARO:3007379,ARO:3007382","neomycin,dibekacin,sisomicin,kanamycin A,tobramycin,paromomycin,lividomycin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",85.14,"Aminoglycoside","ARO:3000322","AAC(3)","aac"
"aadA6",100,"846/846",100,"1..846","GMGC10.001_983_519.AADA","502..1347","Spectinomycin, Streptomycin","AF140629","ARO:3002606","aadA6","Perfect","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",100,"Aminoglycoside","ARO:3004275","ANT(3'')","ant"
"blaVEB-1",99.67,"900/900",99.6666666666667,"1..900","GMGC10.001_990_215.UNKNOWN","1..897","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Cefepime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid, Aztreonam","HM370393","ARO:3002378","VEB-9","Perfect","ARO:0000004,ARO:0000032","monobactam,cephalosporin","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",99.67,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"blaAER-1",86.44,"804/915",87.8688524590164,"97..900","GMGC10.001_997_366.BLA","118..921","Unknown Beta-lactam","U14748","ARO:3002481","AER-1","Perfect","ARO:3000008","penicillin beta-lactam","ARO:3000007","beta-lactam antibiotic","ResFinder",86.44,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"aadA4",99.62,"789/789",100,"1..789","GMGC10.002_004_514.AADA","505..1293","Spectinomycin, Streptomycin","Z50802","ARO:3002604","aadA4","Strict","ARO:0000039,ARO:0000040","spectinomycin,streptomycin","ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",99.62,"Aminoglycoside","ARO:3004275","ANT(3'')","ant"
"blaOXA-46",100,"801/801",100,"1..801","GMGC10.002_041_966.UNKNOWN","1..801","Amoxicillin, Ampicillin","AF317511","ARO:3001797","OXA-46","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"blaOXA-129",100,"804/804",100,"1..804","GMGC10.002_053_328.YBXI","1..804","Unknown Beta-lactam","FJWZ01000025","ARO:3001811","OXA-129","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"penA",93.71,"1749/1746",100,"1..1746","GMGC10.002_054_360.FTSI","1..1749","Unknown Beta-lactam","AF515059","ARO:3004185","mecD","Loose","ARO:0000015,ARO:3000008","methicillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",93.71,"Beta-lactam","ARO:3003040","beta-lactam resistant penicillin-binding proteins","PBP"
"aph(3')-IIa",90.19,"479/795",60.251572327044,"277..755","GMGC10.002_061_068.UNKNOWN","2..480","Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin, Kanamycin, Neomycin","X57709","ARO:3002644","APH(3')-IIa","Strict","ARO:0000005,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000655,ARO:3000657","neomycin,ribostamycin,butirosin,kanamycin A,gentamicin B,paromomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",90.19,"Aminoglycoside","ARO:3000126","APH(3')","aph"
"aph(3')-XV",100,"795/795",100,"1..795","GMGC10.002_062_288.NEO","1..795","Unknown Aminoglycoside","EU165039","ARO:3004675","aphA15","Strict","ARO:0000005,ARO:0000013,ARO:0000038,ARO:0000040,ARO:0000049","neomycin,amikacin,netilmicin,streptomycin,kanamycin A","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",100,"Aminoglycoside","ARO:3000126","APH(3')","aph"
"aac(6')-31",94.03,"519/519",100,"1..519","GMGC10.002_063_573.UNKNOWN","199..717","Amikacin, Gentamicin, Tobramycin, Neomycin, Kanamycin, Netilmicin, Isepamicin, Sisomicin","AM283489","ARO:3002585","AAC(6')-31","Perfect","ARO:0000005,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000049,ARO:0000052,ARO:3000652,ARO:3007382","neomycin,amikacin,sisomicin,netilmicin,kanamycin A,tobramycin,isepamicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",94.03,"Aminoglycoside","ARO:3000345","AAC(6')","aac"
"aac(3)-I",92.33,"326/465",70.1075268817204,"140..465","GMGC10.002_063_752.UNKNOWN","2..327","Gentamicin, Astromicin, Fortimicin","AJ877225","ARO:3007384","AAC(3)-I","Manual","ARO:0000016","aminoglycoside antibiotic","ARO:0000016","aminoglycoside antibiotic","ResFinder",92.33,"Aminoglycoside","ARO:3000322","AAC(3)","aac"
"blaVHH-1",97.9310344827586,"435/852",50.8215962441314,"1..434","GMGC10.002_065_002.BLA","1..434","Ampicillin, Amoxicillin, Piperacillin","NG050334","ARO:3007003","VHH-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000637","carbapenem,cephalosporin,ampicillin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",97.9310344827586,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"aac(6')-IIa",81.14,"525/555",94.5945945945946,"31..555","GMGC10.002_065_115.UNKNOWN","31..555","Tobramycin, Dibekacin, Gentamicin, Sisomicin, Netilmicin","M29695","ARO:3002594","AAC(6')-IIa","Perfect","ARO:0000007,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379,ARO:3007382","dibekacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin,gentamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",81.14,"Aminoglycoside","ARO:3000345","AAC(6')","aac"
"aac(6')-29a",100,"213/348",61.2068965517241,"1..213","GMGC10.002_067_477.UNKNOWN","1..213","Amikacin, Tobramycin, Neomycin, Kanamycin, Netilmicin, Isepamicin, Sisomicin","AF263519","ARO:3002583","AAC(6')-29a","Loose","ARO:0000007,ARO:0000013,ARO:0000049,ARO:0000052,ARO:3000652","dibekacin,amikacin,kanamycin A,tobramycin,isepamicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",100,"Aminoglycoside","ARO:3000345","AAC(6')","aac"
"blaVIM-4",100,"801/801",100,"1..801","GMGC10.002_067_741.CPHA","136..936","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam","EU581706","ARO:3002274","VIM-4","Perfect","ARO:0000020,ARO:0000032,ARO:3000008","carbapenem,cephalosporin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"aac(6')-Ib3",99.64,"555/555",100,"1..555","GMGC10.002_068_128.UNKNOWN","163..717","Amikacin, Tobramycin","X60321","ARO:3002581","AAC(6')-Ib10","Strict","ARO:0000013,ARO:0000049,ARO:0000052","amikacin,kanamycin A,tobramycin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",99.64,"Aminoglycoside","ARO:3000345","AAC(6')","aac"
"fosA",99.26,"408/408",100,"1..408","GMGC10.002_068_661.UNKNOWN","943..1350","Fosfomycin","ACWU01000146","ARO:3000149","FosA","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ResFinder",99.26,"Fosfomycin","ARO:3000342","fosfomycin inactivation enzyme","fos"
"blaOXA-396",99.87,"789/789",99.873257287706,"1..789","GMGC10.002_072_504.YBXI","1..788","Amoxicillin, Ampicillin, Meropenem","AY306134","ARO:3001582","OXA-396","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",99.87,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"aph(3')-IIb",99.38,"807/807",99.8760842627014,"1..807","GMGC10.002_072_838.NEO","1..806","Unknown Aminoglycoside, Kanamycin, Neomycin, Paromomycin, Ribostamycin, Butiromycin, Gentamicin","CP006832","ARO:3002645","APH(3')-IIb","Strict","ARO:0000005,ARO:0000021,ARO:0000024,ARO:0000049,ARO:3000655,ARO:3000657","neomycin,ribostamycin,butirosin,kanamycin A,gentamicin B,paromomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",99.38,"Aminoglycoside","ARO:3000126","APH(3')","aph"
"msr(D)",95.78,"1444/1464",98.6338797814208,"1..1444","GMGC10.002_117_590.UNKNOWN","1..1444","Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S","AF227520","ARO:3003109","msrE","Loose","ARO:0000006,ARO:0000026","erythromycin,streptogramin antibiotic","ARO:0000000,ARO:0000026","macrolide antibiotic,streptogramin antibiotic","ResFinder",95.78,"Macrolide, Streptogramin B","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"aac(3)-VIIa",80,"820/867",93.1949250288351,"1..814","GMGC10.002_231_064.AACC","1..814","Gentamicin, Dibekacin, Kanamycin, Neomycin, Paromomycin, Amikacin, Arbekacin","M22999","ARO:3002541","AAC(3)-VIIa","Perfect","ARO:3000657","paromomycin","ARO:0000016","aminoglycoside antibiotic","ResFinder",80,"Aminoglycoside","ARO:3000322","AAC(3)","aac"
"fosA4",100,"417/417",100,"1..417","GMGC10.002_282_021.FOSB","61..477","Fosfomycin","AB908992","ARO:3003210","FosA4","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ResFinder",100,"Fosfomycin","ARO:3000342","fosfomycin inactivation enzyme","fos"
"aph(3')-Ia",100,"458/816",56.1274509803922,"359..816","GMGC10.002_289_011.APHA","257..714","Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin, Unknown Aminoglycoside","X62115","ARO:3002641","APH(3')-Ia","Perfect","ARO:0000005,ARO:0000021,ARO:0000049,ARO:3000655,ARO:3000657,ARO:3000658","neomycin,ribostamycin,kanamycin A,gentamicin B,paromomycin,lividomycin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",100,"Aminoglycoside","ARO:3000126","APH(3')","aph"
"otr(C)",85.19,"986/1056",91.6666666666667,"1..977","GMGC10.002_293_673.SCLAV_1483","1..977","Doxycycline, Tetracycline","AY509111","ARO:3002894","otr(C)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",85.19,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"dfrA10",100,"564/564",100,"1..564","GMGC10.002_304_999.DHFR","1..564","Trimethoprim","L06418","ARO:3003011","dfrA10","Perfect","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ResFinder",100,"Folate pathway antagonist","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"tet(X3)",100,"1167/1167",100,"1..1167","GMGC10.002_305_691.TETX","1..1167","Doxycycline, Tetracycline, Minocycline, Tigecycline","MK134375","ARO:3004719","tet(X3)","Perfect","ARO:0000030,ARO:0000051","tigecycline,tetracycline","ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic","ResFinder",100,"Tetracycline","ARO:3000036","tetracycline inactivation enzyme","tet enzyme"
"tet(59)",99.83,"1203/1203",100,"1..1203","GMGC10.002_309_342.TETA","1..1203","Doxycycline, Tetracycline","KU736878","ARO:3004441","tet(59)","Perfect","ARO:0000051,ARO:3000528,ARO:3000668","tetracycline,chlortetracycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ResFinder",99.83,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"qnrA2",100,"657/657",100,"1..657","GMGC10.002_375_744.QNR","109..765","Ciprofloxacin","AY675584","ARO:3002708","QnrA2","Perfect","ARO:0000036,ARO:0000071,ARO:0000074,ARO:3000659,ARO:3000661,ARO:3000662,ARO:3000666","ciprofloxacin,levofloxacin,moxifloxacin,gatifloxacin,nalidixic acid,norfloxacin,sparfloxacin","ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","ResFinder",100,"Quinolone","ARO:3000419","quinolone resistance protein (qnr)","qnr"
"otr(C)",80.42,"950/1056",87.6893939393939,"29..966","GMGC10.002_385_305.SCLAV_1483","17..954","Doxycycline, Tetracycline","AY509111","ARO:3002894","otr(C)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",80.42,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"cphA2",95.54,"762/765",99.6078431372549,"4..765","GMGC10.002_395_809.CPHA","1..762","Unknown Beta-lactam","AHU60294","ARO:3003099","cphA2","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ResFinder",95.54,"Beta-lactam","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"mcr-3.38",100,"1623/1623",100,"1..1623","GMGC10.002_395_947.EPTA","1..1623","Colistin","MT787344","ARO:3007251","","","","","","","ResFinder",100,"Polymyxin","ARO:3003580","gene altering cell wall charge","cell wall charge"
"dfrA7",100,"474/474",100,"1..474","GMGC10.002_425_308.FOLA","229..702","Trimethoprim","AB161450","ARO:3002862","dfrA7","Strict","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ResFinder",100,"Folate pathway antagonist","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"fosB1",99.28,"417/417",100,"1..417","GMGC10.002_430_984.FOSB","1..417","Fosfomycin","CP001903","ARO:3007372","FosBx1","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ResFinder",99.28,"Fosfomycin","ARO:3000342","fosfomycin inactivation enzyme","fos"
"ant(4')-IIb",99.6,"756/756",100,"1..756","GMGC10.002_444_244.HISI","1..756","Amikacin, Tobramycin, Isepamicin","AY114142","ARO:3002625","ANT(4')-IIb","Strict","ARO:0000013,ARO:0000052,ARO:3000652","amikacin,tobramycin,isepamicin","ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",99.6,"Aminoglycoside","ARO:3000229","ANT(4')","ant"
"blaVHW-1",84.23,"856/873",97.3654066437572,"1..855","GMGC10.002_447_139.BLA","1..851","Ampicillin, Amoxicillin, Piperacillin","AF217648","ARO:3007004","VHW-1","Perfect","ARO:0000020,ARO:0000032,ARO:3000637","carbapenem,cephalosporin,ampicillin","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",84.23,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"tet(E)",100,"1218/1218",100,"1..1218","GMGC10.002_470_057.TETA","1..1218","Doxycycline, Tetracycline","CP000645","ARO:3000173","tet(E)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",100,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"blaFOX-2",98.69,"1149/1149",100,"1..1149","GMGC10.002_470_232.AMPC","1..1149","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","Y10282","ARO:3002156","FOX-2","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",98.69,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"ampS",92.37,"773/795",97.2327044025157,"1..773","GMGC10.002_473_343.UNKNOWN","1..773","Unknown Beta-lactam","X80276","ARO:3008720","OXA-725","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",92.37,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"blaCMY-1",80.56,"1075/1149",91.3838120104439,"84..1141","GMGC10.002_481_731.AMPC","93..1159","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","X92508","ARO:3002012","CMY-1","Perfect","ARO:3009106","second-generation cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",80.56,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"blaOXA-427",89.18,"795/795",99.496855345912,"1..793","GMGC10.002_487_600.OXA","1..793","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin","KX827604","ARO:3003115","OXA-427","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",89.18,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"blaCMY-8b",83.44,"1117/1149",95.5613577023499,"39..1144","GMGC10.002_494_474.AMPC","39..1147","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","DQ094251","ARO:3006464","CMY-8b","Perfect","ARO:3009106","second-generation cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",83.44,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"cphA5",92.92,"749/765",97.9084967320261,"4..752","GMGC10.002_496_517.CPHA","1..749","Unknown Beta-lactam","AY227051","ARO:3003101","cphA5","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","ResFinder",92.92,"Beta-lactam","ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
"blaOXA-427",86.94,"666/795",83.7735849056604,"130..795","GMGC10.002_502_077.OXA","100..765","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin","KX827604","ARO:3003115","OXA-427","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",86.94,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
"blaOXA-427",87.96,"789/795",98.9937106918239,"1..788","GMGC10.002_505_609.OXA","1..788","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin","KX827604","ARO:3003115","OXA-427","Perfect","ARO:0000020,ARO:0000056,ARO:3000008","carbapenem,oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",87.96,"Beta-lactam","ARO:3000075","class D beta-lactamase","class D beta-lactamase"
